No.,Barcode Number,Brand Name,Product Description,Category Name,Dosage Form,Manufacturer,Batch Number,Manufacturing Date,Expiry Date,Quantity in Stock,Supplier,Date Received,Notes
72,6161116480439,Actrapid,Actrapid 100 IU/ML 10ml,Anti-hyperglasemic,As prescribed by physician,Novo Nordisk ,PT6FM99,2025-09-24,2025-02-27,1,Ilara Health,16/05/2025,No barcode
74,6161116480453,Actrapid,Actrapid 100 UI/ml 10ml,Anti-hyperglasemic,As prescribed by physician,Novo Nordisk ,PT6FM99,2025-09-24,2025-02-27,1,Ilara Health,16/05/2025,No barcode
17,6161116480132,Antarcmask,Antarcmask Disposable Nonwoven Face Mask,PPEs,As directed by physician,Nantong Hope Industry $ Trade CO.LTD,HP202409,15/09/2024,14/09/2029,4 boxes,Ilara Health,16/05/2025,No barcode
23,6161116480194,Ascard-75,ASCARD-75 Acetylsalicyic Acid 75mg  30 TABLETS,Anti-Fibrolitic,As directed by physician,ATCO LABORATORIES LTD,ARO711,10/23/2025,09/26/2025,2,Ilara Health,16/05/2025,No barcode
39,6161116480460,Atstat 20,ATSTAT ATORVASTATIN 20MG TABS 3*10 tablets,STATINS,As directed by physician,IND SWIFT LTD,AP11724,07/24/2025,06/27/2025,2,Ilara Health,16/05/2025,No barcode
31,6161116480491,Augmentin,AUGMENTIN 228MG/5ML AMOXICILLIN TRIHYDRATE-POTASSIUM CLAVULANATE,ANTIBIOTICS,As directed by physician,GSK,V87F,06/24/2025,05/26/2025,3,Ilara Health,16/05/2025,No barcode
32,6161116480507,Augmentin,AUGMENTIN 457MG/5ML AMOXICILLIN TRIHYDRATE-POTASSIUM CLAVULANATE ANTIBIOTICS,ANTIBIOTICS,As directed by physician,GSK,2N2W,09/24/2025,08/26/2025,3,Ilara Health,16/05/2025,No barcode
33,6161116480514,Augmentin,AUGMENTIN 1G AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE TABS,ANTIBIOTICS,As directed by physician,GSK,ST9W,04/24/2025,04/26/2025,3,Ilara Health,16/05/2025,No barcode
34,6161116480521,Augmentin,AUGMENTIN 625 AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE TABS,ANTIBIOTICS,As directed by physician,GSK,YA3H,07/24/2025,07/26/2025,3,Ilara Health,16/05/2025,No barcode
35,6161116480538,Augmentin,AUGMENTIN 375 AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE TABS,ANTIBIOTICS,As directed by physician,GSK,9U6N,08/23/2025,08/26/2025,3,Ilara Health,16/05/2025,No barcode
