No.,Barcode Number,Brand Name,Product Description,Category Name,Dosage Form,Manufacturer,Batch Number,Manufacturing Date,Expiry Date,Quantity in Stock,Supplier,Date Received
1,6161116480439,Actrapid,Actrapid 100 IU/ML 10ml,Anti-hyperglasemic,As prescribed by physician,Novo Nordisk ,PT6FM99,09-24,02-27,1,Ilara Health,
2,6161116480453,Actrapid,Actrapid 100 UI/ml 10ml,Anti-hyperglasemic,As prescribed by physician,Novo Nordisk ,PT6FM99,09-24,02-27,1,Ilara Health,
3,6161116480132,Antarcmask,Antarcmask Disposable Nonwoven Face Mask,PPEs,As directed by physician,Nantong Hope Industry $ Trade CO.LTD,HP202409,15/09/2024,14/09/2029,4 boxes,Ilara Health,
4,6161116480194,Ascard-75,ASCARD-75 Acetylsalicyic Acid 75mg  30 TABLETS,Anti-Fibrolitic,As directed by physician,ATCO LABORATORIES LTD,ARO711,Oct-23,Sep-26,2,Ilara Health,
5,6161116480460,Atstat 20,ATSTAT ATORVASTATIN 20MG TABS 3*10 tablets,STATINS,As directed by physician,IND SWIFT LTD,AP11724,Jul-24,Jun-27,2,Ilara Health,
6,6161116480491,Augmentin,AUGMENTIN 228MG/5ML AMOXICILLIN TRIHYDRATE-POTASSIUM CLAVULANATE,ANTIBIOTICS,As directed by physician,GSK,V87F,Jun-24,May-26,3,Ilara Health,
7,6161116480507,Augmentin,AUGMENTIN 457MG/5ML AMOXICILLIN TRIHYDRATE-POTASSIUM CLAVULANATE ANTIBIOTICS,ANTIBIOTICS,As directed by physician,GSK,2N2W,Sep-24,Aug-26,3,Ilara Health,
8,6161116480514,Augmentin,AUGMENTIN 1G AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE TABS,ANTIBIOTICS,As directed by physician,GSK,ST9W,Apr-24,Apr-26,3,Ilara Health,
9,6161116480521,Augmentin,AUGMENTIN 625 AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE TABS,ANTIBIOTICS,As directed by physician,GSK,YA3H,Jul-24,Jul-26,3,Ilara Health,
10,6161116480538,Augmentin,AUGMENTIN 375 AMOXICILLIN TRIHYDRATE POTASSIUM CLAVULANATE TABS,ANTIBIOTICS,As directed by physician,GSK,9U6N,Aug-23,Aug-26,3,Ilara Health,
