No. ,Barcode Number,Brand Name,Product Description ,Category,Dosage Form,Manufacturer,Category,Batch Number,Maufacture Date,Expiry Date,Quantity,UOM,,,,,Storage Conditions,Manufacturer,Supplier,Date Received,Reorder Level,Strength,Unit Price,Total Value,Location,Notes
1,8906159250261,Pred -5 ,Pred-5 Prednisolone Dispersible Tablets 5mg 3*10 Tablets,Antihistamine,As directed by physician,Trident Lifeline Limited,Antihistamine,T3082,08/23/2025,07/01/2026,3,pkts,,,,,Store below 30 ̊ C protect from light and moisture,Trident Lifeline Limited,Surgilinks Limited,05/07/2025,,#VALUE!,,,,In good condition
2,6161110939513,Valus-sp,"Valus-sp Aceclofenac 100mg,Serratiopeptidase 15 mg & Paracetamol 500mg Tablets 1*10 tablets",Antihistamine,read accompanying prescribing information,Questa Care Limited,Antihistamine,762501,03/25/2025,02/01/2027,4, pkts,,,,,Do not store above 30 ̊ C ,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
3,6161110930367,Woban ,Woban Albendazole Tablets 400mg 1*1 tablet,Gastrointestinal drug,as directed by physician,Questa Care Limited,Gastrointestinal drug,262401,05/24/2025,04/01/2027,11, pkts,,,,,Do not store above 30̊ C protect from light and moisture,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,"5 packs added , sticker is covering the barcode "
4,NA,Transamin,Tranasamin Capsules  Antiplasminic Agent Tranexamic Acid 500mg 20 Capsules,Multivitamins,"For adults, usually 1-2 capsules, 3-4 times a day but may be modified according to age and symptoms",Hilton Pharma(Pvt) Ltd.,Multivitamins,150869,10/23/2025,10/01/2027,3, pkts,,,,,N/A,Hilton Pharma(Pvt) Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
5,6161110939469,Valus-p ,Valus-p Aceclofenac & Pareacetamol Tablets 1*10 tabs,Antihistamine,read accompanying prescribing information,Questa Care Limited,Antihistamine,202401,11/24/2025,10/01/2027,5, pkts,,,,,Do not store above 30 ̊C,Questa Care Limited,Surgilinks Limited,05/07/2025,,,,,,In good condition
6,8904091106318,Altacef,Altacef-500 Cefuroxime Axetil USP 500 mg Tablet 10's ,Antibiotics,As directed by physician,Glenmark Pharmaceauticals Ltd.,Antibiotics,55240017,,04/01/2027,3, pkts,,,,,Store below 30 ̊ C protect from light and moisture,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
7,8904091101498,Esose,Esose 40 mg Esomeprazole 40 mg Tabs 30's,Gastrointestinal drug,As directed by physician,Glenmark Pharmaceauticals Ltd.,Gastrointestinal drug,10240210,01/24/2025,12/01/2025,2, pkts,,,,,Store below 30 ̊ C protect from light and moisture,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition but expiry date is too soon 
8,8906045620642,Zerover 1GM ,Zerover paracetamol effervescent tablets BP 1000mg 20 effervescent tablets,Antihistamine,As directed by physician,Globela Pharma Pvt. Ltd.,Antihistamine,24GEF046,08/24/2025,07/01/2026,2, pkts,,,,,Store in a cool and dry place below 25  ̊Protect from direct sunlight,Globela Pharma Pvt. Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
9,8906007511681,Glevonix,Glevonix 750 Levofloxacin Tablets 750 mg 1*10 Tablets,Antibiotics,As directed by physician,Glenmark Pharmaceauticals Ltd.,Antibiotics,MK-243,08/24/2025,07/01/2027,3, pkts,,,,,Store below 30 ̊ C protect from light and moisture,Glenmark Pharmaceauticals Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition
10,6161110939414,Myteka,Myteka Tablets Montelukast Sodium 14 Tablets 10mg,Antihistamine,As directed by physician,Hilton Pharma(Pvt) Ltd.,Antihistamine,145884,10/22/2025,10/01/2025,2, pkts,,,,,Store at or below 25 ̊C in a dry place and protect from sunlight,Hilton Pharma(Pvt) Ltd.,Surgilinks Limited,05/07/2025,,,,,,In good condition but expiry date is too soon 
